"id","code","name","sequence","church_id"
"0c7eda3a-f5c5-4892-8ce7-7cabb8fddfd7","W10","Wilayah 10","10","8f7e6d5c-4b3a-4948-a7f6-1c2d3e4f5a6b"
"122bbc12-7761-4e63-8bec-c11dd429187c","W14","Wilayah 14","14","8f7e6d5c-4b3a-4948-a7f6-1c2d3e4f5a6b"
"164058e8-c098-43b4-bde8-eb87fef1ee74","W6","Wilayah 6","6","8f7e6d5c-4b3a-4948-a7f6-1c2d3e4f5a6b"
"28481437-fd20-4154-936d-2e7d30af0a5c","W12","Wilayah 12","12","8f7e6d5c-4b3a-4948-a7f6-1c2d3e4f5a6b"
"2ae77d24-8a45-4a88-81c0-93980cc03eef","W11","Wilayah 11","11","8f7e6d5c-4b3a-4948-a7f6-1c2d3e4f5a6b"
"39c42ee8-1a30-4652-ab5c-ea5fa2d35c1a","W13","Wilayah 13","13","8f7e6d5c-4b3a-4948-a7f6-1c2d3e4f5a6b"
"3a30ff80-0229-4676-bcda-5bc3e757ab96","W22","Wilayah 22","22","8f7e6d5c-4b3a-4948-a7f6-1c2d3e4f5a6b"
"466ad1dc-13a5-413b-a583-24290fbebf4f","W5","Wilayah 5","5","8f7e6d5c-4b3a-4948-a7f6-1c2d3e4f5a6b"
"4ecc5094-f79e-4fc6-bb99-46c5ff84e7ff","W23","Wilayah 23","23","8f7e6d5c-4b3a-4948-a7f6-1c2d3e4f5a6b"
"560d8425-906b-4238-b827-280602fef24e","W15","Wilayah 15","15","8f7e6d5c-4b3a-4948-a7f6-1c2d3e4f5a6b"
"5641fb49-debf-4900-b7fc-39df9cccf987","W9","Wilayah 9","9","8f7e6d5c-4b3a-4948-a7f6-1c2d3e4f5a6b"
"63745d48-c6f9-40d8-b5ec-6a151b66857b","W24","Wilayah 24","24","8f7e6d5c-4b3a-4948-a7f6-1c2d3e4f5a6b"
"6706a900-c20f-48a6-b9a9-bb2858a7868a","W19","Wilayah 19","19","8f7e6d5c-4b3a-4948-a7f6-1c2d3e4f5a6b"
"69280c5b-860b-4fb6-880f-08d0ba9a9513","W7","Wilayah 7","7","8f7e6d5c-4b3a-4948-a7f6-1c2d3e4f5a6b"
"6b7510f6-0337-470b-bb0f-6fe89762e307","W8","Wilayah 8","8","8f7e6d5c-4b3a-4948-a7f6-1c2d3e4f5a6b"
"8ba17429-853b-47dd-811e-db914fa0e802","W1","Wilayah 1","1","8f7e6d5c-4b3a-4948-a7f6-1c2d3e4f5a6b"
"8e638b8d-36ed-43bf-a6f9-a0497739b293","W16","Wilayah 16","16","8f7e6d5c-4b3a-4948-a7f6-1c2d3e4f5a6b"
"97c4ea13-3e07-471a-8ddf-1f772d62a0fb","W18","Wilayah 18","18","8f7e6d5c-4b3a-4948-a7f6-1c2d3e4f5a6b"
"9f09dd7c-77f7-4039-96ac-3dfb610f18ad","W4","Wilayah 4","4","8f7e6d5c-4b3a-4948-a7f6-1c2d3e4f5a6b"
"a794077a-9b8b-4529-a409-7c8b8ceeacbc","W2","Wilayah 2","2","8f7e6d5c-4b3a-4948-a7f6-1c2d3e4f5a6b"
"a91c5d76-71d3-4467-9b3a-feae22c93d2f","W25","Wilayah 25","25","8f7e6d5c-4b3a-4948-a7f6-1c2d3e4f5a6b"
"b840bc10-f3e6-4ece-bb7d-e892380a9669","W3","Wilayah 3","3","8f7e6d5c-4b3a-4948-a7f6-1c2d3e4f5a6b"
"c43c63d0-d38c-4604-92e0-4bc86b1c47c7","W26","Wilayah 26","26","8f7e6d5c-4b3a-4948-a7f6-1c2d3e4f5a6b"
"d36da198-5e36-4b32-a78a-b58b3cf8e56f","W20","Wilayah 20","20","8f7e6d5c-4b3a-4948-a7f6-1c2d3e4f5a6b"
"f2f6351c-7020-4801-985f-eb3ed0fb7425","W21","Wilayah 21","21","8f7e6d5c-4b3a-4948-a7f6-1c2d3e4f5a6b"
"f7bdf827-0d0b-4c91-969d-737e40ae61f1","W17","Wilayah 17","17","8f7e6d5c-4b3a-4948-a7f6-1c2d3e4f5a6b"
